source,dest
58,60
59,60
62,60
63,60
67,60
73,60
76,60
77,60
78,60
79,60
80,60
82,60
89,60
90,60
93,60
20,61
37,61
44,61
68,61
71,61
84,61
85,61
98,61
99,61
1,46
3,46
5,46
7,46
9,46
10,46
12,46
14,46
16,46
21,46
24,46
30,46
32,46
33,46
48,46
51,46
54,46
55,46
70,46
75,46
76,46
81,46
86,46
88,46
92,46
94,46
95,46
0,49
11,49
13,49
14,49
16,49
17,49
22,49
24,49
31,49
34,49
39,49
40,49
41,49
45,49
50,49
51,49
53,49
57,49
72,49
74,49
77,49
78,49
79,49
81,49
89,49
90,49
92,49
95,49
96,49
97,49
9,48
10,48
12,48
14,48
21,48
32,48
39,48
43,48
44,48
46,48
47,48
50,48
55,48
56,48
70,48
71,48
75,48
87,48
88,48
91,48
95,48
3,47
7,47
10,47
12,47
13,47
14,47
16,47
17,47
21,47
32,47
38,47
43,47
44,47
48,47
50,47
55,47
56,47
70,47
71,47
75,47
81,47
0,51
87,47
7,51
88,47
9,51
10,51
94,47
11,51
15,51
17,51
22,51
23,51
31,51
33,51
34,51
38,51
39,51
40,51
41,51
42,51
45,51
46,51
49,51
52,51
53,51
57,51
59,51
60,51
62,51
72,51
73,51
74,51
76,51
78,51
79,51
89,51
6,50
7,50
11,50
16,50
17,50
25,50
32,50
33,50
34,50
35,50
39,50
40,50
41,50
45,50
47,50
48,50
49,50
55,50
58,50
62,50
74,50
81,50
83,50
87,50
91,50
92,50
94,50
95,50
96,50
0,53
10,53
11,53
15,53
17,53
18,53
19,53
22,53
23,53
26,53
31,53
34,53
38,53
39,53
40,53
41,53
49,53
51,53
57,53
59,53
60,53
62,53
64,53
66,53
73,53
74,53
76,53
78,53
79,53
82,53
96,53
97,53
3,55
6,55
8,55
10,55
12,55
14,55
21,55
25,55
32,55
35,55
39,55
46,55
47,55
48,55
50,55
56,55
63,55
75,55
82,55
83,55
87,55
91,55
92,55
95,55
97,55
0,52
5,52
10,52
11,52
13,52
16,52
21,52
22,52
23,52
30,52
40,52
42,52
45,52
51,52
54,52
57,52
58,52
59,52
60,52
63,52
72,52
73,52
74,52
76,52
77,52
78,52
79,52
80,52
88,52
89,52
90,52
92,52
93,52
96,52
2,57
4,57
11,57
15,57
17,57
18,57
19,57
22,57
29,57
31,57
34,57
38,57
39,57
40,57
41,57
42,57
49,57
51,57
52,57
53,57
54,57
58,57
59,57
63,57
64,57
66,57
67,57
74,57
76,57
77,57
78,57
79,57
82,57
90,57
92,57
93,57
96,57
1,56
2,56
6,56
16,56
18,56
24,56
25,56
28,56
36,56
40,56
42,56
47,56
48,56
54,56
55,56
58,56
59,56
69,56
74,56
80,56
82,56
83,56
91,56
94,56
97,56
98,56
1,54
2,54
3,54
4,54
7,54
12,54
16,54
17,54
18,54
22,54
24,54
29,54
30,54
33,54
36,54
40,54
41,54
46,54
52,54
56,54
57,54
58,54
63,54
69,54
74,54
75,54
77,54
80,54
81,54
82,54
83,54
91,54
92,54
94,54
95,54
97,54
20,61
37,61
44,61
68,61
71,61
84,61
85,61
98,61
99,61
0,58
2,58
4,58
6,58
8,58
11,58
13,58
16,58
17,58
18,58
22,58
29,58
30,58
32,58
34,58
35,58
38,58
40,58
42,58
50,58
52,58
54,58
56,58
57,58
59,58
60,58
63,58
65,58
67,58
69,58
74,58
76,58
77,58
78,58
80,58
88,58
92,58
93,58
96,58
0,59
8,59
11,59
13,59
15,59
16,59
18,59
23,59
27,59
28,59
29,59
30,59
31,59
36,59
38,59
40,59
42,59
51,59
52,59
53,59
56,59
57,59
58,59
60,59
66,59
67,59
69,59
74,59
76,59
77,59
78,59
79,59
80,59
88,59
93,59
0,60
8,60
10,60
11,60
13,60
15,60
18,60
23,60
26,60
27,60
33,60
34,60
38,60
41,60
42,60
51,60
52,60
53,60
58,60
59,60
62,60
63,60
67,60
73,60
76,60
77,60
78,60
79,60
80,60
82,60
89,60
90,60
93,60
0,51
7,51
9,51
10,51
11,51
15,51
17,51
22,51
23,51
31,51
33,51
34,51
38,51
39,51
40,51
41,51
42,51
45,51
46,51
49,51
52,51
53,51
57,51
59,51
60,51
62,51
72,51
73,51
74,51
76,51
78,51
79,51
89,51
3,47
7,47
10,47
12,47
13,47
14,47
16,47
17,47
21,47
32,47
38,47
43,47
44,47
48,47
50,47
55,47
56,47
70,47
71,47
75,47
81,47
87,47
88,47
94,47
0,52
5,52
10,52
11,52
13,52
16,52
21,52
22,52
23,52
30,52
40,52
42,52
45,52
51,52
54,52
57,52
58,52
59,52
60,52
63,52
72,52
73,52
74,52
76,52
77,52
78,52
79,52
80,52
88,52
89,52
90,52
92,52
93,52
96,52
1,46
3,46
5,46
7,46
9,46
10,46
12,46
14,46
16,46
21,46
24,46
30,46
32,46
33,46
48,46
51,46
54,46
55,46
70,46
75,46
76,46
81,46
86,46
88,46
92,46
94,46
95,46
3,55
6,55
8,55
10,55
12,55
14,55
21,55
25,55
32,55
35,55
39,55
46,55
47,55
48,55
50,55
56,55
63,55
75,55
82,55
83,55
87,55
91,55
92,55
95,55
97,55
6,50
7,50
11,50
16,50
17,50
25,50
32,50
33,50
34,50
35,50
39,50
40,50
41,50
45,50
47,50
48,50
49,50
55,50
58,50
62,50
74,50
81,50
83,50
87,50
91,50
92,50
94,50
95,50
96,50
9,48
10,48
12,48
14,48
21,48
32,48
39,48
43,48
44,48
46,48
47,48
50,48
55,48
56,48
70,48
71,48
75,48
87,48
88,48
91,48
95,48
0,49
11,49
13,49
14,49
16,49
17,49
22,49
24,49
31,49
34,49
39,49
40,49
41,49
45,49
50,49
51,49
53,49
57,49
72,49
74,49
77,49
78,49
79,49
81,49
89,49
90,49
92,49
95,49
96,49
97,49
1,56
2,56
6,56
16,56
18,56
24,56
25,56
28,56
36,56
40,56
42,56
47,56
48,56
54,56
55,56
58,56
59,56
69,56
74,56
80,56
82,56
83,56
91,56
94,56
97,56
98,56
1,54
2,54
3,54
4,54
7,54
12,54
16,54
17,54
18,54
22,54
24,54
29,54
30,54
33,54
36,54
40,54
41,54
46,54
52,54
56,54
57,54
58,54
63,54
69,54
74,54
75,54
77,54
80,54
81,54
82,54
83,54
91,54
92,54
94,54
95,54
97,54
0,53
10,53
11,53
15,53
17,53
18,53
19,53
22,53
23,53
26,53
31,53
34,53
38,53
39,53
40,53
41,53
49,53
51,53
57,53
59,53
60,53
62,53
64,53
66,53
73,53
74,53
76,53
78,53
79,53
82,53
96,53
97,53
2,57
4,57
11,57
15,57
17,57
18,57
19,57
22,57
29,57
31,57
34,57
38,57
39,57
40,57
41,57
42,57
49,57
51,57
52,57
53,57
54,57
58,57
59,57
63,57
64,57
66,57
67,57
74,57
76,57
77,57
78,57
79,57
82,57
90,57
92,57
93,57
96,57
20,61
37,61
44,61
68,61
71,61
84,61
85,61
98,61
99,61
0,58
2,58
4,58
6,58
8,58
11,58
13,58
16,58
17,58
18,58
22,58
29,58
30,58
32,58
34,58
35,58
38,58
40,58
42,58
50,58
52,58
54,58
56,58
57,58
59,58
60,58
63,58
65,58
67,58
69,58
74,58
76,58
77,58
78,58
80,58
88,58
92,58
93,58
96,58
0,60
8,60
10,60
11,60
13,60
15,60
18,60
23,60
26,60
27,60
33,60
34,60
38,60
41,60
42,60
51,60
52,60
53,60
58,60
59,60
62,60
63,60
67,60
73,60
76,60
77,60
78,60
79,60
80,60
82,60
89,60
90,60
93,60
0,59
8,59
11,59
13,59
15,59
16,59
18,59
23,59
27,59
28,59
29,59
30,59
31,59
36,59
38,59
40,59
42,59
51,59
52,59
53,59
56,59
57,59
58,59
60,59
66,59
67,59
69,59
74,59
76,59
77,59
78,59
79,59
80,59
88,59
93,59
0,51
7,51
9,51
10,51
11,51
15,51
17,51
22,51
23,51
31,51
33,51
34,51
38,51
39,51
40,51
41,51
42,51
45,51
46,51
49,51
52,51
53,51
57,51
59,51
60,51
62,51
72,51
73,51
74,51
76,51
78,51
79,51
89,51
3,47
7,47
10,47
12,47
13,47
14,47
16,47
17,47
21,47
32,47
38,47
43,47
44,47
48,47
50,47
55,47
56,47
70,47
71,47
75,47
81,47
87,47
88,47
94,47
3,55
6,55
8,55
10,55
12,55
14,55
21,55
25,55
32,55
35,55
39,55
46,55
47,55
48,55
50,55
56,55
63,55
75,55
82,55
83,55
87,55
91,55
92,55
95,55
97,55
6,50
7,50
11,50
16,50
17,50
25,50
32,50
33,50
34,50
35,50
39,50
40,50
41,50
45,50
47,50
48,50
49,50
55,50
58,50
62,50
74,50
81,50
83,50
87,50
91,50
92,50
94,50
95,50
96,50
0,49
11,49
13,49
14,49
16,49
17,49
22,49
24,49
31,49
34,49
39,49
40,49
41,49
45,49
50,49
51,49
53,49
57,49
72,49
74,49
77,49
78,49
79,49
81,49
89,49
90,49
92,49
95,49
96,49
97,49
1,46
3,46
5,46
7,46
9,46
10,46
12,46
14,46
16,46
21,46
24,46
30,46
32,46
33,46
48,46
51,46
54,46
55,46
70,46
75,46
76,46
81,46
86,46
88,46
92,46
94,46
95,46
9,48
10,48
12,48
14,48
21,48
32,48
39,48
43,48
44,48
46,48
47,48
50,48
55,48
56,48
70,48
71,48
75,48
87,48
88,48
91,48
95,48
1,56
2,56
6,56
16,56
18,56
24,56
25,56
28,56
36,56
40,56
42,56
47,56
48,56
54,56
55,56
58,56
59,56
69,56
74,56
80,56
82,56
83,56
91,56
94,56
97,56
98,56
0,52
5,52
10,52
11,52
13,52
16,52
21,52
22,52
23,52
30,52
40,52
42,52
45,52
51,52
54,52
57,52
58,52
59,52
60,52
63,52
72,52
73,52
74,52
76,52
77,52
78,52
79,52
80,52
88,52
89,52
90,52
92,52
93,52
96,52
0,53
10,53
11,53
15,53
17,53
18,53
19,53
22,53
23,53
26,53
31,53
34,53
38,53
39,53
40,53
41,53
49,53
51,53
57,53
59,53
60,53
62,53
64,53
66,53
73,53
74,53
76,53
78,53
79,53
82,53
96,53
97,53
1,54
2,54
3,54
4,54
7,54
12,54
16,54
17,54
18,54
22,54
24,54
29,54
30,54
2,57
33,54
36,54
4,57
40,54
11,57
41,54
15,57
17,57
18,57
46,54
19,57
52,54
22,57
56,54
57,54
58,54
29,57
63,54
31,57
69,54
34,57
74,54
38,57
75,54
39,57
77,54
40,57
41,57
42,57
80,54
81,54
82,54
49,57
83,54
51,57
52,57
53,57
54,57
58,57
59,57
91,54
63,57
92,54
64,57
66,57
67,57
94,54
74,57
95,54
97,54
76,57
77,57
78,57
79,57
82,57
90,57
92,57
93,57
96,57
0,60
8,60
10,60
11,60
13,60
15,60
18,60
23,60
26,60
27,60
33,60
34,60
38,60
41,60
42,60
51,60
52,60
53,60
58,60
59,60
62,60
63,60
67,60
73,60
76,60
77,60
78,60
79,60
80,60
82,60
89,60
90,60
93,60
0,59
8,59
11,59
13,59
15,59
16,59
18,59
23,59
27,59
28,59
29,59
30,59
31,59
36,59
38,59
40,59
42,59
51,59
52,59
53,59
56,59
57,59
58,59
60,59
66,59
67,59
69,59
74,59
76,59
77,59
78,59
79,59
80,59
88,59
93,59
20,61
37,61
44,61
68,61
71,61
84,61
85,61
98,61
99,61
0,58
2,58
4,58
6,58
8,58
11,58
13,58
16,58
17,58
18,58
22,58
29,58
30,58
32,58
34,58
35,58
38,58
40,58
42,58
50,58
52,58
54,58
56,58
57,58
59,58
60,58
63,58
65,58
67,58
69,58
74,58
76,58
77,58
78,58
80,58
88,58
92,58
93,58
96,58
3,47
7,47
10,47
12,47
13,47
14,47
16,47
17,47
21,47
32,47
38,47
43,47
44,47
48,47
50,47
55,47
56,47
70,47
71,47
75,47
81,47
87,47
88,47
94,47
0,49
11,49
13,49
14,49
16,49
17,49
22,49
24,49
31,49
34,49
39,49
40,49
41,49
45,49
50,49
51,49
53,49
57,49
72,49
74,49
77,49
78,49
79,49
81,49
89,49
90,49
92,49
95,49
96,49
97,49
1,46
3,46
5,46
7,46
9,46
10,46
12,46
14,46
16,46
21,46
24,46
30,46
32,46
33,46
48,46
51,46
54,46
55,46
70,46
75,46
76,46
81,46
86,46
88,46
92,46
94,46
95,46
6,50
7,50
11,50
16,50
17,50
25,50
32,50
33,50
34,50
35,50
39,50
40,50
41,50
45,50
47,50
48,50
49,50
55,50
58,50
62,50
74,50
81,50
83,50
87,50
91,50
92,50
94,50
95,50
96,50
3,55
6,55
8,55
10,55
12,55
14,55
21,55
25,55
32,55
35,55
39,55
46,55
47,55
48,55
50,55
56,55
63,55
75,55
82,55
83,55
87,55
91,55
92,55
95,55
97,55
9,48
10,48
12,48
14,48
21,48
32,48
39,48
43,48
44,48
46,48
47,48
50,48
55,48
56,48
70,48
71,48
75,48
87,48
88,48
91,48
95,48
0,51
7,51
9,51
10,51
11,51
15,51
17,51
22,51
23,51
31,51
33,51
34,51
38,51
39,51
40,51
41,51
42,51
45,51
46,51
49,51
52,51
53,51
57,51
59,51
60,51
62,51
72,51
73,51
74,51
76,51
78,51
79,51
89,51
0,53
10,53
11,53
15,53
17,53
18,53
19,53
22,53
23,53
26,53
31,53
34,53
38,53
39,53
40,53
41,53
49,53
51,53
57,53
59,53
60,53
62,53
64,53
66,53
73,53
74,53
76,53
78,53
79,53
82,53
96,53
97,53
1,56
2,56
6,56
16,56
18,56
24,56
25,56
28,56
36,56
40,56
42,56
47,56
48,56
54,56
55,56
58,56
59,56
69,56
74,56
80,56
82,56
83,56
91,56
94,56
97,56
98,56
1,54
2,54
3,54
4,54
7,54
12,54
16,54
17,54
18,54
22,54
24,54
29,54
30,54
33,54
36,54
40,54
41,54
46,54
52,54
56,54
57,54
58,54
63,54
69,54
74,54
75,54
77,54
80,54
81,54
82,54
83,54
91,54
92,54
94,54
95,54
97,54
2,57
4,57
11,57
15,57
17,57
18,57
19,57
22,57
29,57
31,57
34,57
38,57
39,57
40,57
41,57
42,57
49,57
51,57
52,57
53,57
54,57
58,57
59,57
63,57
64,57
66,57
67,57
74,57
76,57
77,57
78,57
79,57
82,57
90,57
92,57
93,57
96,57
0,52
5,52
10,52
11,52
13,52
16,52
21,52
22,52
23,52
30,52
40,52
42,52
45,52
51,52
54,52
57,52
58,52
59,52
60,52
63,52
72,52
73,52
74,52
76,52
77,52
78,52
79,52
80,52
88,52
89,52
90,52
92,52
93,52
96,52
0,58
2,58
4,58
6,58
8,58
11,58
13,58
16,58
17,58
18,58
22,58
29,58
30,58
32,58
34,58
35,58
38,58
40,58
42,58
50,58
52,58
54,58
56,58
57,58
59,58
60,58
63,58
65,58
67,58
69,58
74,58
76,58
77,58
78,58
80,58
88,58
92,58
93,58
96,58
20,61
37,61
44,61
68,61
71,61
84,61
85,61
98,61
99,61
0,60
8,60
10,60
11,60
13,60
15,60
18,60
23,60
26,60
27,60
33,60
34,60
38,60
41,60
42,60
51,60
52,60
53,60
58,60
59,60
62,60
63,60
67,60
73,60
76,60
77,60
78,60
79,60
80,60
82,60
89,60
90,60
93,60
0,59
8,59
11,59
13,59
15,59
16,59
18,59
23,59
27,59
28,59
29,59
30,59
31,59
36,59
38,59
40,59
42,59
51,59
52,59
53,59
56,59
57,59
58,59
60,59
66,59
67,59
69,59
74,59
76,59
77,59
78,59
79,59
80,59
88,59
93,59
6,50
7,50
11,50
16,50
17,50
25,50
32,50
33,50
34,50
35,50
39,50
40,50
41,50
45,50
47,50
48,50
49,50
55,50
58,50
62,50
74,50
81,50
83,50
87,50
91,50
92,50
94,50
95,50
96,50
1,54
2,54
3,54
4,54
7,54
12,54
16,54
17,54
18,54
22,54
24,54
29,54
30,54
33,54
36,54
40,54
41,54
46,54
52,54
56,54
57,54
58,54
63,54
69,54
74,54
75,54
77,54
80,54
81,54
82,54
83,54
91,54
92,54
94,54
95,54
97,54
3,55
6,55
8,55
10,55
12,55
14,55
21,55
25,55
32,55
35,55
39,55
46,55
47,55
48,55
50,55
56,55
63,55
75,55
82,55
83,55
87,55
91,55
92,55
95,55
97,55
1,46
3,46
5,46
7,46
9,46
10,46
12,46
14,46
16,46
21,46
24,46
30,46
32,46
33,46
48,46
51,46
54,46
55,46
70,46
75,46
76,46
81,46
86,46
88,46
92,46
94,46
95,46
0,52
5,52
10,52
11,52
13,52
16,52
21,52
22,52
23,52
30,52
40,52
42,52
45,52
51,52
54,52
57,52
58,52
59,52
60,52
63,52
72,52
73,52
74,52
76,52
77,52
78,52
79,52
80,52
88,52
89,52
90,52
92,52
93,52
96,52
0,49
11,49
13,49
14,49
16,49
17,49
22,49
24,49
31,49
34,49
39,49
40,49
41,49
45,49
50,49
51,49
53,49
57,49
72,49
74,49
77,49
78,49
79,49
81,49
89,49
90,49
92,49
95,49
96,49
97,49
3,47
7,47
10,47
12,47
13,47
14,47
16,47
17,47
21,47
32,47
38,47
43,47
44,47
48,47
50,47
55,47
56,47
70,47
71,47
75,47
81,47
87,47
88,47
94,47
0,51
7,51
9,51
10,51
11,51
15,51
17,51
22,51
23,51
31,51
33,51
34,51
38,51
39,51
40,51
41,51
42,51
45,51
46,51
49,51
52,51
53,51
57,51
59,51
60,51
62,51
72,51
73,51
74,51
76,51
78,51
79,51
89,51
0,53
10,53
11,53
15,53
17,53
18,53
19,53
22,53
23,53
26,53
31,53
34,53
38,53
39,53
40,53
41,53
49,53
51,53
57,53
59,53
60,53
62,53
64,53
66,53
73,53
74,53
76,53
78,53
79,53
82,53
96,53
97,53
9,48
10,48
12,48
14,48
21,48
32,48
39,48
43,48
44,48
46,48
47,48
50,48
55,48
56,48
70,48
71,48
75,48
87,48
88,48
91,48
95,48
1,56
2,56
6,56
16,56
18,56
24,56
25,56
28,56
36,56
40,56
42,56
47,56
48,56
54,56
55,56
58,56
59,56
69,56
74,56
80,56
82,56
83,56
91,56
94,56
97,56
98,56
2,57
4,57
11,57
15,57
17,57
18,57
19,57
22,57
29,57
31,57
34,57
38,57
39,57
40,57
41,57
42,57
49,57
51,57
52,57
53,57
54,57
58,57
59,57
63,57
64,57
66,57
67,57
74,57
76,57
77,57
78,57
79,57
82,57
90,57
92,57
93,57
96,57
0,58
2,58
4,58
6,58
8,58
11,58
13,58
16,58
17,58
18,58
22,58
29,58
30,58
32,58
34,58
35,58
38,58
40,58
42,58
50,58
52,58
54,58
56,58
57,58
59,58
60,58
63,58
65,58
67,58
69,58
74,58
76,58
77,58
78,58
80,58
88,58
92,58
93,58
96,58
0,59
8,59
11,59
13,59
15,59
16,59
18,59
23,59
27,59
28,59
29,59
30,59
31,59
36,59
38,59
40,59
42,59
51,59
52,59
53,59
56,59
57,59
58,59
60,59
66,59
67,59
69,59
74,59
76,59
77,59
78,59
79,59
80,59
88,59
93,59
20,61
37,61
44,61
68,61
71,61
84,61
85,61
98,61
99,61
0,60
8,60
10,60
11,60
13,60
15,60
18,60
23,60
26,60
27,60
33,60
34,60
38,60
41,60
42,60
51,60
52,60
53,60
58,60
59,60
62,60
63,60
67,60
73,60
76,60
77,60
78,60
79,60
80,60
82,60
89,60
90,60
93,60
1,54
2,54
3,54
4,54
7,54
12,54
16,54
17,54
18,54
22,54
24,54
29,54
30,54
33,54
36,54
40,54
41,54
46,54
52,54
56,54
57,54
58,54
63,54
69,54
74,54
75,54
77,54
80,54
81,54
82,54
83,54
91,54
92,54
94,54
95,54
97,54
2,57
4,57
11,57
15,57
17,57
18,57
19,57
22,57
29,57
31,57
34,57
38,57
39,57
40,57
41,57
42,57
49,57
51,57
52,57
53,57
54,57
58,57
59,57
63,57
64,57
66,57
67,57
74,57
76,57
77,57
78,57
79,57
82,57
90,57
92,57
93,57
96,57
1,46
3,46
5,46
7,46
9,46
10,46
12,46
14,46
16,46
21,46
24,46
30,46
32,46
33,46
48,46
51,46
54,46
55,46
70,46
75,46
76,46
81,46
86,46
88,46
92,46
94,46
95,46
0,52
5,52
10,52
11,52
13,52
16,52
21,52
22,52
23,52
30,52
40,52
42,52
45,52
51,52
54,52
57,52
58,52
59,52
60,52
63,52
72,52
73,52
74,52
76,52
77,52
78,52
79,52
80,52
88,52
89,52
90,52
92,52
93,52
96,52
0,53
10,53
11,53
15,53
17,53
18,53
19,53
22,53
23,53
26,53
31,53
34,53
38,53
39,53
40,53
41,53
49,53
51,53
57,53
59,53
60,53
62,53
64,53
66,53
73,53
74,53
76,53
78,53
79,53
82,53
96,53
97,53
1,56
2,56
6,56
16,56
18,56
24,56
25,56
28,56
36,56
40,56
42,56
47,56
48,56
54,56
55,56
58,56
59,56
69,56
74,56
80,56
82,56
83,56
91,56
94,56
97,56
98,56
3,55
6,55
8,55
10,55
12,55
14,55
21,55
25,55
32,55
35,55
39,55
46,55
47,55
48,55
50,55
56,55
63,55
75,55
82,55
83,55
87,55
91,55
92,55
95,55
97,55
6,50
7,50
11,50
16,50
17,50
25,50
32,50
33,50
34,50
35,50
39,50
40,50
41,50
45,50
47,50
48,50
49,50
55,50
58,50
62,50
74,50
81,50
83,50
87,50
91,50
92,50
94,50
95,50
96,50
3,47
7,47
10,47
12,47
13,47
14,47
16,47
17,47
21,47
32,47
38,47
43,47
44,47
48,47
50,47
55,47
56,47
70,47
71,47
75,47
81,47
87,47
88,47
94,47
0,49
11,49
13,49
14,49
16,49
17,49
22,49
24,49
31,49
34,49
39,49
40,49
41,49
45,49
50,49
51,49
53,49
57,49
72,49
74,49
77,49
78,49
79,49
81,49
89,49
90,49
92,49
95,49
96,49
97,49
0,51
7,51
9,51
10,51
11,51
15,51
17,51
22,51
23,51
31,51
33,51
34,51
38,51
39,51
40,51
41,51
42,51
45,51
46,51
49,51
52,51
53,51
57,51
59,51
60,51
62,51
72,51
73,51
74,51
76,51
78,51
79,51
89,51
9,48
10,48
12,48
14,48
21,48
32,48
39,48
43,48
44,48
46,48
47,48
50,48
55,48
56,48
70,48
71,48
75,48
87,48
88,48
91,48
95,48
0,58
2,58
4,58
6,58
8,58
11,58
13,58
16,58
17,58
18,58
22,58
29,58
30,58
32,58
34,58
35,58
38,58
40,58
42,58
50,58
52,58
54,58
56,58
57,58
59,58
60,58
63,58
65,58
67,58
69,58
74,58
76,58
77,58
78,58
80,58
88,58
92,58
93,58
96,58
2,57
4,57
11,57
15,57
17,57
18,57
19,57
22,57
29,57
31,57
34,57
38,57
39,57
40,57
41,57
42,57
49,57
51,57
52,57
53,57
54,57
58,57
59,57
63,57
64,57
66,57
67,57
74,57
76,57
77,57
78,57
79,57
82,57
90,57
92,57
93,57
96,57
1,54
2,54
3,54
4,54
7,54
12,54
16,54
17,54
18,54
22,54
24,54
29,54
30,54
33,54
36,54
40,54
41,54
46,54
52,54
56,54
57,54
58,54
63,54
69,54
74,54
75,54
77,54
80,54
81,54
82,54
83,54
91,54
92,54
94,54
95,54
97,54
1,46
3,46
5,46
7,46
9,46
10,46
12,46
14,46
16,46
21,46
24,46
30,46
32,46
33,46
48,46
51,46
54,46
55,46
70,46
75,46
76,46
81,46
86,46
88,46
92,46
94,46
95,46
20,61
37,61
44,61
68,61
71,61
84,61
85,61
98,61
99,61
0,59
8,59
11,59
13,59
15,59
16,59
18,59
23,59
27,59
28,59
29,59
30,59
31,59
36,59
38,59
40,59
42,59
51,59
52,59
53,59
56,59
57,59
58,59
60,59
66,59
67,59
69,59
74,59
76,59
77,59
78,59
79,59
80,59
88,59
93,59
0,60
8,60
10,60
11,60
13,60
15,60
18,60
23,60
26,60
27,60
33,60
34,60
38,60
41,60
42,60
51,60
52,60
53,60
58,60
59,60
62,60
63,60
67,60
73,60
